epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.30121810557541945), 0.45902908326882674) (np.float64(0.27320025947534027), 0.42999446596568897)
40 (np.float64(0.31127967322229944), 0.47138121546961326) (np.float64(0.2827613067401104), 0.4302517313400022)
60 (np.float64(0.32614019566937075), 0.48102801676593865) (np.float64(0.28085930063034076), 0.4282886053673559)
80 (np.float64(0.31522181590745674), 0.4729064039408867) (np.float64(0.2873093005594914), 0.43526687251874724)
100 (np.float64(0.32320548820344164), 0.47986317996248484) (np.float64(0.2855097219618728), 0.4310801855533466)
120 (np.float64(0.3239263107330184), 0.48272447183098594) (np.float64(0.2834673977849874), 0.4291217257318952)
140 (np.float64(0.33070269104748795), 0.4912685337726524) (np.float64(0.2904576987214404), 0.4403549129148866)
160 (np.float64(0.326865779777771), 0.4815303430079156) (np.float64(0.29179789964982644), 0.44196281219056)
180 (np.float64(0.3268859227263673), 0.48242811501597443) (np.float64(0.2911841792461151), 0.4408815426997245)
200 (np.float64(0.3285288518788728), 0.4875109553023663) (np.float64(0.29136751521226434), 0.4410763316858869)
220 (np.float64(0.3220389305224073), 0.48126167710737444) (np.float64(0.2835089155337012), 0.4326880774307083)
240 (np.float64(0.3231247071187732), 0.47836644591611477) (np.float64(0.2894647967359212), 0.4407134206759881)
260 (np.float64(0.33027782438599357), 0.49159802306425043) (np.float64(0.2875680215440751), 0.4299527524447863)
280 (np.float64(0.32987459985151807), 0.4894203217985453) (np.float64(0.2922732096945254), 0.440224570673712)
300 (np.float64(0.3205999385214584), 0.47902675327534955) (np.float64(0.28798283608875497), 0.4363053806209259)
320 (np.float64(0.3206528641281474), 0.4780493199159571) (np.float64(0.28959932084872253), 0.43396435292815233)
340 (np.float64(0.331653822463288), 0.4901874310915105) (np.float64(0.2901098165476587), 0.4383727322704783)
360 (np.float64(0.32736672997097777), 0.48873502582701395) (np.float64(0.29166806044683313), 0.4459772652025163)
380 (np.float64(0.3308834576504052), 0.4857205866137391) (np.float64(0.2843601745004536), 0.43394980184940557)
400 (np.float64(0.32323420950333465), 0.47749834546657843) (np.float64(0.281370718689766), 0.4302556192155134)
420 (np.float64(0.3272732101488312), 0.4850458006842512) (np.float64(0.2814045726788578), 0.42716857610474634)
440 (np.float64(0.3207515805717219), 0.4785005512679162) (np.float64(0.28071559997828655), 0.4266505014879312)
460 (np.float64(0.3290399955578463), 0.48455428067078554) (np.float64(0.29224565849087464), 0.43753439735828287)
480 (np.float64(0.32807577662255777), 0.48454515454845454) (np.float64(0.2879458931238099), 0.4372720238753178)
500 (np.float64(0.32422411782837696), 0.48073738823269674) (np.float64(0.29014644612018464), 0.4343166500939123)
520 (np.float64(0.3204753120048023), 0.4759815749067778) (np.float64(0.2795063480594118), 0.4203666887563508)
540 (np.float64(0.32180266560611076), 0.4763379035824856) (np.float64(0.28265233649406957), 0.42674597929059266)
560 (np.float64(0.3153147267901188), 0.4724780701754386) (np.float64(0.2876727270412959), 0.4297975352112676)
580 (np.float64(0.3224306957515517), 0.4819250631798703) (np.float64(0.2805134287779278), 0.4261300992282249)
600 (np.float64(0.32202786484925017), 0.47965244170699517) (np.float64(0.2808158915580484), 0.4310420797532496)
620 (np.float64(0.3244300247721907), 0.4841514417785604) (np.float64(0.27451084895350525), 0.4139796819787986)
640 (np.float64(0.3130446294020222), 0.47243314625288874) (np.float64(0.27809071546717257), 0.42673464863666594)
660 (np.float64(0.32443294683763996), 0.48130995699636125) (np.float64(0.29010317081484543), 0.4381182677511541)
680 (np.float64(0.3216595922133487), 0.4785188440830678) (np.float64(0.2813516574047206), 0.4267487901451826)
700 (np.float64(0.3192813693613769), 0.4756030399823769) (np.float64(0.2817471403754073), 0.42780101254677527)
720 (np.float64(0.3186651328988802), 0.4738292011019284) (np.float64(0.2887836011579478), 0.4365331870543061)
740 (np.float64(0.3174120068826647), 0.47511213215184334) (np.float64(0.28233362976241794), 0.4275778317509384)
760 (np.float64(0.31369752714492877), 0.46954986760812) (np.float64(0.2866065886227909), 0.4368155935173018)
780 (np.float64(0.3167358337399536), 0.47384205264911694) (np.float64(0.2790117591975913), 0.42877777777777776)
800 (np.float64(0.3177133244711528), 0.47023809523809523) (np.float64(0.287390099647207), 0.4361620375452849)
820 (np.float64(0.31312263858616307), 0.47123649988979505) (np.float64(0.27938212734014634), 0.4265680212014134)
840 (np.float64(0.32910126057161226), 0.4845485538326185) (np.float64(0.2868088115030572), 0.4352462620932278)
860 (np.float64(0.32282356957945196), 0.4768277845371087) (np.float64(0.28289109974667753), 0.4329281767955801)
880 (np.float64(0.32387467663817093), 0.48366085228527267) (np.float64(0.28017305407092674), 0.42394070140502266)
900 (np.float64(0.3196346093960077), 0.4750932631116963) (np.float64(0.2826712247865433), 0.4310154525386313)
920 (np.float64(0.32189098216879036), 0.4844795437095536) (np.float64(0.28371375078902417), 0.43135313531353137)
940 (np.float64(0.30560025214114184), 0.455626513983704) (np.float64(0.2646032082639746), 0.406194885361552)
960 (np.float64(0.3249512275788307), 0.4883900077033124) (np.float64(0.2907667370190117), 0.4422907488986784)
980 (np.float64(0.31206325088409825), 0.470471354454134) (np.float64(0.2709197818147527), 0.4145374449339207)
1000 (np.float64(0.3152593642036026), 0.46904315196998125) (np.float64(0.2865885629738556), 0.4351699109204883)
